"endTime","artistName","trackName","msPlayed"
"2022-04-02 17:53","Porta","Hay Siempre un Sentimiento Muerto en un Corazón Roto",760
"2022-04-02 17:53","MisterWives","ghost",420
"2022-04-02 17:53","Keyblade","A Fuego Lento",620
"2022-04-02 17:53","MisterWives","SUPERBLOOM",2040
"2022-04-02 17:53","Porta","Dragon Ball Rap 1.5",34623
"2022-04-02 17:57","Zara Larsson","Ruin My Life",190931
"2022-04-02 18:02","Porta","Acción y Reacción 1.5",333732
"2022-04-02 18:05","Luna Snow","Flow - From ""Marvel Super War""/Soundtrack Version",181935
"2022-04-02 18:10","Porta","Dragon Ball Super Broly Rap",295652
"2022-04-02 18:13","Bebe Rexha","I'm a Mess",195519
"2022-04-02 18:17","Tessa Violet","Bored",183380
"2022-04-02 18:20","Santa RM","Yo Vengo",178480
"2022-04-02 18:25","Zarcort","Call of Duty: Black Ops 3 Rap",302016
"2022-04-02 18:28","MisterWives","Imagination Infatuation",213586
"2022-04-02 18:32","MisterWives","Coloring Outside The Lines",231306
"2022-04-02 18:35","C-Kan","Mi Canción",200000
"2022-04-02 18:40","Porta","Aprendizaje",272088
"2022-04-02 18:43","Laura Shigihara","Zombies on Your Lawn",159381
"2022-04-02 18:47","MisterWives","Chasing This",240266
"2022-04-02 18:51","Porta","He Cambiado",261859
"2022-04-02 18:54","MisterWives","alone",194853
"2022-04-02 18:57","Tessa Violet","Feelin",184488
"2022-04-02 19:01","Marshmello","FRIENDS",202620
"2022-04-02 19:05","C-Kan","M-E-X-I-C-O",272342
"2022-04-02 19:10","Porta","Aprecia Lo Que Tienes",313080
"2022-04-02 19:14","Porta","Mi Frikimundo",218038
"2022-04-02 19:17","MisterWives","find my way home",158586
"2022-04-02 19:21","Tessa Violet","Honest",252146
"2022-04-02 19:25","Porta","Imperfecto",255567
"2022-04-02 19:27","Porta","Nota De Suicidio (Con Soma)",860
"2022-04-02 19:27","MisterWives","Jingle Bell Rock -Spotify Singles Holiday",1270
"2022-04-02 19:27","K/DA","VILLAIN",100907
"2022-04-02 19:30","MisterWives","rock bottom",190480
"2022-04-02 19:33","MisterWives","whywhywhy",200680
"2022-04-02 19:38","Santa RM","Daño Colateral",253781
"2022-04-02 19:41","Porta","Cree en Ti",185362
"2022-04-02 19:45","Zara Larsson","Only You",222373
"2022-04-02 19:47","MisterWives","over the rainbow",176906
"2022-04-02 19:51","Doja Cat","Say So",237893
"2022-04-02 19:55","Santa RM","No Sé en Qué Te Fallé",223230
"2022-04-02 19:58","Zara Larsson","WOW",179091
"2022-04-02 20:02","Porta","Víctima y Verdugo",247173
"2022-04-02 20:07","C-Kan","Voy Por El Sueno de Muchos (feat. Zimple)",309459
"2022-04-02 20:14","Santaflow","Segundos Fuera - Streaming Remaster",388721
"2022-04-02 20:15","MisterWives","Drummer Boy",620
"2022-04-02 20:15","Porta","Cosas de la Vida",2110
"2022-04-02 20:15","MisterWives","3 small words",73697
"2022-04-02 20:15","MisterWives","Oceans",1280
"2022-04-02 20:15","MisterWives","running in place",880
"2022-04-02 20:19","K/DA","MORE",217088
"2022-04-02 20:22","Tessa Violet","Bad Ideas",179173
"2022-04-02 20:25","Post Malone","Sunflower - Spider-Man: Into the Spider-Verse",157560
"2022-04-02 20:27","Geek Music","The Spectacular Spider-Man Main Theme (From ""The Spectacular Spider-Man"")",150879
"2022-04-02 20:30","Tessa Violet","Dream",204493
"2022-04-02 20:34","MisterWives","Hurricane",239186
"2022-04-02 20:38","Keyblade","Deadpool Vs Deathstroke (Épicas Batallas de Rap del Frikismo T2)",197143
"2022-04-02 20:42","Santaflow","Jura por Tu Dios - Streaming Remaster",237524
"2022-04-02 20:45","MisterWives","stories",172693
"2022-04-02 20:48","Aitana","Lo Malo",180831
"2022-04-02 20:50","Tessa Violet","Interlude III",169723
"2022-04-02 20:54","C-Kan","Mama Me Dijo Un Dia",221803
"2022-04-02 20:57","MisterWives","Not Your Way",186933
"2022-04-02 21:04","Santaflow","Segundos Fuera (feat. Encyser, Kurricé, Porta & Norykko)",392906
"2022-04-02 21:07","K/DA","I'LL SHOW YOU",198611
"2022-04-02 21:11","MisterWives","Twisted Tongue",202093
"2022-04-02 21:14","MisterWives","the end",194893
"2022-04-02 21:19","Porta","Nuestra Historia de Dos",313940
"2022-04-02 21:24","Porta","Nueva Generación",269440
"2022-04-02 21:27","K/DA","MORE",217088
"2022-04-02 21:30","C-Kan","Dejame en Paz",191250
"2022-04-02 21:33","C-Kan","Vuelve (feat. MC Davo)",170770
"2022-04-02 21:36","Porta","Logro Desbloqueado",180066
"2022-04-02 21:40","MisterWives","Stepped On A Bee",227405
"2022-04-02 21:43","Keyblade","Toma Dos Tazas (Cuphead Rap)",162676
"2022-04-02 21:46","MisterWives","Reflections",186440
"2022-04-02 21:53","Porta","Dragon Ball Rap Super",412476
"2022-04-02 21:56","MisterWives","Box Around The Sun",214120
"2022-04-02 22:00","Santaflow","La Locura Está en Mí - Streaming Remaster",203573
"2022-04-02 22:04","Porta","Algo Ha Cambiado",266293
"2022-04-02 22:07","MisterWives","7-2",176600
"2022-04-02 22:13","Porta","Escribo Poco",348269
"2022-04-02 22:17","Porta","Días Grises",233353
"2022-04-02 22:21","League of Legends","Legends Never Die",235000
"2022-04-02 22:24","Zara Larsson","Never Forget You",213427
"2022-04-02 22:28","TINI","Consejo de Amor",199720
"2022-04-02 22:33","Porta","Bruce Wayne",309333
"2022-04-02 22:37","Porta","Animales racionales",229573
"2022-04-02 22:42","C-Kan","Ten La Tuya",293616
"2022-04-02 22:44","Porta","Sin Ti",133613
"2022-04-02 22:47","MisterWives","love me true",196266
"2022-04-02 22:52","MisterWives","Let The Light In",308480
"2022-04-02 22:56","Zara Larsson","Lush Life",201122
"2022-04-02 22:58","Porta","Tetris Rap + Outro",136347
"2022-04-02 23:02","Porta","Corazón, Boli y Papel",267193
"2022-04-02 23:06","TINI","Princesa",203520
"2022-04-02 23:51","Tessa Violet","Games",25534
"2022-04-03 13:53","Keyblade","Mickey Mouse vs Bugs Bunny (Epicas Batallas De Rap Del Frikisimo)",1291
"2022-04-03 13:53","Zara Larsson","So Good (feat. Ty Dolla $ign)",14710
"2022-04-03 13:53","MisterWives","whywhywhy",3864
"2022-04-03 13:56","K/DA","THE BADDEST",162600
"2022-04-03 13:56","MisterWives","Machine",3279
"2022-04-03 13:59","C-Kan","No Haces Na",187097
"2022-04-03 14:02","MisterWives","Reflections",186440
"2022-04-03 14:03","Porta","Palabras Mudas (Con Gema)",20632
"2022-04-05 10:29","Zara Larsson","Only You",4580
"2022-04-05 10:32","Bebe Rexha","Baby, I'm Jealous (feat. Doja Cat)",175873
"2022-04-05 10:35","K/DA","THE BADDEST",162600
"2022-04-05 10:37","K/DA","THE BADDEST",162600
"2022-04-05 10:41","Porta","Mal Acostumbrados",208173
"2022-04-05 10:43","MisterWives","find my way home",158586
"2022-04-05 10:47","MisterWives","Machine",210426
"2022-04-05 10:53","Porta","El 90% de Mí Eres Tu",336614
"2022-04-05 10:57","MisterWives","Riptide",253200
"2022-04-05 11:00","Clean Bandit","Symphony (feat. Zara Larsson)",212733
"2022-04-05 11:03","Greeicy","Más Fuerte",184760
"2022-04-05 11:08","Porta","Algo Ha Cambiado",266293
"2022-04-05 11:11","Tessa Violet","Games",209748
"2022-04-05 11:15","C-Kan","Dejame en Paz",191250
"2022-04-05 11:21","Santaflow","Segundos Fuera - Streaming Remaster",388721
"2022-04-05 11:24","Bebe Rexha","I'm a Mess",195519
"2022-04-05 11:29","Tessa Violet","Games",221051
"2022-04-05 11:33","MisterWives","Coffins",20664
"2022-04-05 11:33","Ariana Grande","Problem",1053
"2022-04-05 11:33","MisterWives","whywhywhy",200680
"2022-04-05 11:33","K/DA","VILLAIN",888
"2022-04-05 11:33","Lorde","Royals",1013
